"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","PASSTRANSP","RAIL","MLN_PKM","A","2018",7769.56,
"HUN","PASSTRANSP","RAIL","MLN_PKM","A","2019",7751.606,
"HUN","PASSTRANSP","RAIL","MLN_PKM","A","2020",4854.225,
"HUN","PASSTRANSP","RAIL","MLN_PKM","A","2021",5435.389,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2018",82606.9168,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2019",85756.2439,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2020",77150.225,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2021",80447.475,"E"
"ISL","PASSTRANSP","RAIL","MLN_PKM","A","2018",,"M"
"ISL","PASSTRANSP","RAIL","MLN_PKM","A","2019",,"M"
"ISL","PASSTRANSP","RAIL","MLN_PKM","A","2020",,"M"
"ISL","PASSTRANSP","RAIL","MLN_PKM","A","2021",,"M"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2018",8235,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2019",8167,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2020",6316,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2021",7557,
"IRL","PASSTRANSP","RAIL","MLN_PKM","A","2018",2281,
"IRL","PASSTRANSP","RAIL","MLN_PKM","A","2019",2399,
"IRL","PASSTRANSP","RAIL","MLN_PKM","A","2020",834,
"IRL","PASSTRANSP","RAIL","MLN_PKM","A","2021",870,
"ITA","PASSTRANSP","RAIL","MLN_PKM","A","2018",55493,
"ITA","PASSTRANSP","RAIL","MLN_PKM","A","2019",56586,
"ITA","PASSTRANSP","RAIL","MLN_PKM","A","2020",22269,
"ITA","PASSTRANSP","RAIL","MLN_PKM","A","2021",27693,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2018",825494,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2019",836722,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2020",519439,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2021",657691,
"JPN","PASSTRANSP","RAIL","MLN_PKM","A","2018",441614,
"JPN","PASSTRANSP","RAIL","MLN_PKM","A","2019",435063,
"JPN","PASSTRANSP","RAIL","MLN_PKM","A","2020",263211,
"JPN","PASSTRANSP","RAIL","MLN_PKM","A","2021",289891,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2018",912633,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2019",905343,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2020",769440,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2021",750471,
"KOR","PASSTRANSP","RAIL","MLN_PKM","A","2018",92193,
"KOR","PASSTRANSP","RAIL","MLN_PKM","A","2019",100381,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2018",387268,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2019",387957,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2020",339537,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2021",356652,
"LUX","PASSTRANSP","RAIL","MLN_PKM","A","2018",442,
"LUX","PASSTRANSP","RAIL","MLN_PKM","A","2019",463,
"LUX","PASSTRANSP","RAIL","MLN_PKM","A","2020",269,
"LUX","PASSTRANSP","RAIL","MLN_PKM","A","2021",304,
"MEX","PASSTRANSP","RAIL","MLN_PKM","A","2018",1591,
"MEX","PASSTRANSP","RAIL","MLN_PKM","A","2019",1571,
"MEX","PASSTRANSP","RAIL","MLN_PKM","A","2020",523,
"MEX","PASSTRANSP","RAIL","MLN_PKM","A","2021",466,
"NLD","PASSTRANSP","RAIL","MLN_PKM","A","2018",22600,
"NLD","PASSTRANSP","RAIL","MLN_PKM","A","2019",19400,
"NLD","PASSTRANSP","RAIL","MLN_PKM","A","2020",9200,
"NLD","PASSTRANSP","RAIL","MLN_PKM","A","2021",10900,
"NOR","PASSTRANSP","RAIL","MLN_PKM","A","2018",3684,
"NOR","PASSTRANSP","RAIL","MLN_PKM","A","2019",3676,
"NOR","PASSTRANSP","RAIL","MLN_PKM","A","2020",1798,
"NOR","PASSTRANSP","RAIL","MLN_PKM","A","2021",1779,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2018",62078,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2019",62671,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2020",57126,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2021",59211,"E"
"POL","PASSTRANSP","RAIL","MLN_PKM","A","2018",21043,
"POL","PASSTRANSP","RAIL","MLN_PKM","A","2019",22056,
"POL","PASSTRANSP","RAIL","MLN_PKM","A","2020",12557,
"POL","PASSTRANSP","RAIL","MLN_PKM","A","2021",15917,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2018",262156,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2019",268491,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2020",232234,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2021",252807,"E"
"PRT","PASSTRANSP","RAIL","MLN_PKM","A","2018",4487,
"PRT","PASSTRANSP","RAIL","MLN_PKM","A","2019",4964.014,
"PRT","PASSTRANSP","RAIL","MLN_PKM","A","2020",2552,
"PRT","PASSTRANSP","RAIL","MLN_PKM","A","2021",2912,
"SVK","PASSTRANSP","RAIL","MLN_PKM","A","2018",3915,
"SVK","PASSTRANSP","RAIL","MLN_PKM","A","2019",4093,
"SVK","PASSTRANSP","RAIL","MLN_PKM","A","2020",2180,
"SVK","PASSTRANSP","RAIL","MLN_PKM","A","2021",2052,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2018",34699,"E"
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2019",34803,"E"
"ESP","PASSTRANSP","RAIL","MLN_PKM","A","2018",28434,
"ESP","PASSTRANSP","RAIL","MLN_PKM","A","2019",28835,
"ESP","PASSTRANSP","RAIL","MLN_PKM","A","2020",11981.57,
"ESP","PASSTRANSP","RAIL","MLN_PKM","A","2021",17477.16,
"ESP","PASSTRANSP","ROAD","MLN_PKM","A","2018",372744,
"ESP","PASSTRANSP","ROAD","MLN_PKM","A","2019",375255,
"ESP","PASSTRANSP","ROAD","MLN_PKM","A","2020",284467,
"ESP","PASSTRANSP","ROAD","MLN_PKM","A","2021",348402,
"SWE","PASSTRANSP","RAIL","MLN_PKM","A","2018",13546.798247255,
"SWE","PASSTRANSP","RAIL","MLN_PKM","A","2019",14617.207234121,
"SWE","PASSTRANSP","RAIL","MLN_PKM","A","2020",8129,
"SWE","PASSTRANSP","RAIL","MLN_PKM","A","2021",8027,
"SWE","PASSTRANSP","ROAD","MLN_PKM","A","2018",107074,
"SWE","PASSTRANSP","ROAD","MLN_PKM","A","2019",106492,
"SWE","PASSTRANSP","ROAD","MLN_PKM","A","2020",99665,
"SWE","PASSTRANSP","ROAD","MLN_PKM","A","2021",98813,
"CHE","PASSTRANSP","RAIL","MLN_PKM","A","2018",20613,
"CHE","PASSTRANSP","RAIL","MLN_PKM","A","2019",21737,
"CHE","PASSTRANSP","RAIL","MLN_PKM","A","2020",13334,
"CHE","PASSTRANSP","RAIL","MLN_PKM","A","2021",14308,
"CHE","PASSTRANSP","ROAD","MLN_PKM","A","2018",104331.24281709,
"CHE","PASSTRANSP","ROAD","MLN_PKM","A","2019",105566.43633,
"CHE","PASSTRANSP","ROAD","MLN_PKM","A","2020",93457.198014008,
"CHE","PASSTRANSP","ROAD","MLN_PKM","A","2021",99196.89138231,
"TUR","PASSTRANSP","RAIL","MLN_PKM","A","2018",8938,
"TUR","PASSTRANSP","RAIL","MLN_PKM","A","2019",14259,
"TUR","PASSTRANSP","RAIL","MLN_PKM","A","2020",8297,
"TUR","PASSTRANSP","RAIL","MLN_PKM","A","2021",10663,
"TUR","PASSTRANSP","ROAD","MLN_PKM","A","2018",329363,
"TUR","PASSTRANSP","ROAD","MLN_PKM","A","2019",339601,
"TUR","PASSTRANSP","ROAD","MLN_PKM","A","2020",288992,
"TUR","PASSTRANSP","ROAD","MLN_PKM","A","2021",336188,
"GBR","PASSTRANSP","RAIL","MLN_PKM","A","2018",80980.168,
"GBR","PASSTRANSP","RAIL","MLN_PKM","A","2019",82550.430261516,
"GBR","PASSTRANSP","RAIL","MLN_PKM","A","2020",24188.466688403,
"GBR","PASSTRANSP","RAIL","MLN_PKM","A","2021",30840,"B"
"GBR","PASSTRANSP","ROAD","MLN_PKM","A","2018",756707.46502046,
"GBR","PASSTRANSP","ROAD","MLN_PKM","A","2019",770193.48051932,
"GBR","PASSTRANSP","ROAD","MLN_PKM","A","2020",518977.61162216,"B"
"GBR","PASSTRANSP","ROAD","MLN_PKM","A","2021",584032.26439114,
"USA","PASSTRANSP","RAIL","MLN_PKM","A","2018",32734.933394258,
"USA","PASSTRANSP","RAIL","MLN_PKM","A","2019",33150.970547621,
"USA","PASSTRANSP","RAIL","MLN_PKM","A","2020",12446.829846025,
"USA","PASSTRANSP","RAIL","MLN_PKM","A","2021",15160.824599995,
"USA","PASSTRANSP","ROAD","MLN_PKM","A","2018",6626702.9693477,
"USA","PASSTRANSP","ROAD","MLN_PKM","A","2019",6674065.0818348,
"USA","PASSTRANSP","ROAD","MLN_PKM","A","2020",5703341.495165,
"USA","PASSTRANSP","ROAD","MLN_PKM","A","2021",6171807.385268,
"EST","PASSTRANSP","RAIL","MLN_PKM","A","2018",417,
"EST","PASSTRANSP","RAIL","MLN_PKM","A","2019",392,
"EST","PASSTRANSP","RAIL","MLN_PKM","A","2020",263,
"EST","PASSTRANSP","RAIL","MLN_PKM","A","2021",290,
"LVA","PASSTRANSP","RAIL","MLN_PKM","A","2018",624,
"LVA","PASSTRANSP","RAIL","MLN_PKM","A","2019",643,
"LVA","PASSTRANSP","RAIL","MLN_PKM","A","2020",413,
"LVA","PASSTRANSP","RAIL","MLN_PKM","A","2021",360.8,
"LTU","PASSTRANSP","RAIL","MLN_PKM","A","2018",468,
"LTU","PASSTRANSP","RAIL","MLN_PKM","A","2019",479,
"LTU","PASSTRANSP","RAIL","MLN_PKM","A","2020",260,
"LTU","PASSTRANSP","RAIL","MLN_PKM","A","2021",329,
"LTU","PASSTRANSP","ROAD","MLN_PKM","A","2018",32702,
"SVN","PASSTRANSP","RAIL","MLN_PKM","A","2018",656,
"SVN","PASSTRANSP","RAIL","MLN_PKM","A","2019",698,
"SVN","PASSTRANSP","RAIL","MLN_PKM","A","2020",397,
"SVN","PASSTRANSP","RAIL","MLN_PKM","A","2021",542,
"NZL","PASSTRANSP","RAIL","MLN_PKM","A","2018",743.27,
"NZL","PASSTRANSP","RAIL","MLN_PKM","A","2019",776.56,
"NZL","PASSTRANSP","RAIL","MLN_PKM","A","2020",802.03456282044,
"NZL","PASSTRANSP","RAIL","MLN_PKM","A","2021",738,"P"
"NZL","PASSTRANSP","ROAD","MLN_PKM","A","2018",50043.464372811,
"NZL","PASSTRANSP","ROAD","MLN_PKM","A","2019",51118.94428099,
"NZL","PASSTRANSP","ROAD","MLN_PKM","A","2020",54630.008565368,
"NZL","PASSTRANSP","ROAD","MLN_PKM","A","2021",53658,"P"
"ISR","PASSTRANSP","RAIL","MLN_PKM","A","2018",3031.76,
"ISR","PASSTRANSP","RAIL","MLN_PKM","A","2019",3579.9,
"ISR","PASSTRANSP","RAIL","MLN_PKM","A","2020",1252.9,
"ISR","PASSTRANSP","RAIL","MLN_PKM","A","2021",1956,
"CHL","PASSTRANSP","RAIL","MLN_PKM","A","2018",676.511127,
"CHL","PASSTRANSP","RAIL","MLN_PKM","A","2019",721.461235,
"CHL","PASSTRANSP","RAIL","MLN_PKM","A","2020",351.91732,"P"
"CHL","PASSTRANSP","RAIL","MLN_PKM","A","2021",532.839832,
